2.00 -209.34217625
2.05 -209.62606185
2.10 -209.85178510
2.15 -210.02983737
2.20 -210.16882785
2.25 -210.27584368
2.30 -210.35672733
2.35 -210.41630756
2.40 -210.45859588
2.45 -210.48694783
2.50 -210.50415995
2.55 -210.51252387
2.60 -210.51390382
2.65 -210.50982426
2.70 -210.50154403
2.75 -210.49010029
2.80 -210.47632538
2.85 -210.46087659
2.90 -210.44429185
2.95 -210.42700687
3.00 -210.40937135
3.05 -210.39166285
3.10 -210.37408717
3.15 -210.35681350
3.20 -210.33996259
3.25 -210.32362468
3.30 -210.30786672
3.35 -210.29273843
3.40 -210.27826967
3.45 -210.26447613
3.50 -210.25136112
3.55 -210.23891796
3.60 -210.22713459
3.65 -210.21599075
3.70 -210.20546508
3.75 -210.19553768
3.80 -210.18618507
3.85 -210.17738315
3.90 -210.16910871
3.95 -210.16133862
4.00 -210.15404964
4.05 -210.14722197
4.10 -210.14083116
4.15 -210.13485336
4.20 -210.12927261
4.25 -210.12406227
4.30 -210.11920863
4.35 -210.11468412
4.40 -210.11047833
4.45 -210.10656380
4.50 -210.10292943
4.55 -210.09955625
4.60 -210.09642689
4.65 -210.09353053
4.70 -210.09084857
4.75 -210.08837076
4.80 -210.08608430
4.85 -210.08397502
4.90 -210.08203515
4.95 -210.08025157
5.00 -210.07861142
