3.100000 -196.47607500 29.7910000000
3.200000 -196.50947602 32.7680000000
3.250000 -196.51955743 34.3281250000
3.260000 -196.52111025 34.6459760000
3.270000 -196.52251454 34.9657830000
3.280000 -196.52377580 35.2875520000
3.290000 -196.52490016 35.6112890000
3.300000 -196.52589015 35.9370000000
3.310000 -196.52674871 36.2646910000
3.320000 -196.52747875 36.5943680000
3.330000 -196.52808472 36.9260370000
3.350000 -196.52893874 37.5953750000
3.360000 -196.52919249 37.9330560000
3.370000 -196.52933326 38.2727530000
3.380000 -196.52936509 38.6144720000
3.390000 -196.52929080 38.9582190000
3.400000 -196.52911088 39.3040000000
3.420000 -196.52845527 40.0016880000
3.430000 -196.52798063 40.3536070000
3.440000 -196.52741162 40.7075840000
3.450000 -196.52675476 41.0636250000
3.460000 -196.52600739 41.4217360000
3.470000 -196.52517763 41.7819230000
3.480000 -196.52426257 42.1441920000
3.490000 -196.52326749 42.5085490000
3.500000 -196.52219426 42.8750000000
3.550000 -196.51572618 44.7388750000
3.600000 -196.50764034 46.6560000000
