2.30 -225.06270097 8.3241755594
2.40 -225.19134073 9.4578287937
2.50 -225.27074774 10.6900010780
2.55 -225.29591662 11.3443146639
2.60 -225.31296650 12.0247973726
2.70 -225.32644579 13.4663226379
2.75 -225.32454374 14.2283914348
2.80 -225.31788466 15.0186818345
2.83 -225.31188218 15.5066159016
2.86 -225.30453279 16.0050053029
2.89 -225.29595492 16.5139608723
2.92 -225.28625865 17.0335934437
2.95 -225.27554666 17.5640138511
2.98 -225.26391476 18.1053329284
3.01 -225.25145243 18.6576615096
3.04 -225.23824316 19.2211104285
3.05 -225.23368770 19.4114170774
3.08 -225.21960284 19.9898655217
3.11 -225.20494495 20.5796929162
3.14 -225.18978075 21.1810100949
3.17 -225.17417296 21.7939278917
3.20 -225.15818065 22.4185571407
3.23 -225.14185963 23.0550086756
3.26 -225.12526271 23.7033933304
3.29 -225.10843994 24.3638219391
3.32 -225.09143880 25.0364053355
3.35 -225.07430441 25.7212543537
3.38 -225.05707970 26.4184798275
3.41 -225.03980549 27.1281925909
